instance,generators,cont_params,cost,violation,expectation_jobs,total_expectation_jobs,total_fidelity_jobs,classical_opt_time,optimized_bitstrings,max_inner,ar_uniform,ar_opt,error,history
45,10101,"[2.5077154639898938, 0.0, 0.5052330820916641, 0.0, 1.714679752444848, 0.07916553040120472, 0.0, -8.60199522405065e-11, 0.0, 0.08676729187377426, 1.8825404454589303, 1.8819142723338653, 1.8818102987662877, 1.8812919784552011, 1.8728969000300468, 0.0, -0.00013085122665263494, -0.0008584231879288705, -0.0015135990158690938, -0.008930549935201473]",53.55465827593448,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.14140976779162884, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [1.6100354936407784, 0.43859913535457173, 0.43829666558862457, 1.0999491369791896, 1.139343638458427, 0.07728448229794237, 0.01873772611242868, 0.015232032063617578, 0.008550197437347732, 0.04294988797124807, 2.804016268589437, 2.803589132812035, 2.8036479010365154, 2.803146725748745, 2.797587887715425, 0.0, -0.00016367556541107073, -0.00027886823853047916, -0.0006798424427369106, -0.004013908931278882], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 36.343067955225706, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11011"", ""params"": [1.7289728259836736, 0.5984822288588545, 0.0, 0.6848183308515586, 1.7146797524449284, 0.01874476695048297, 0.012041328925887697, 0.0, 0.015835790655421327, 0.11780938406849008, 2.1691405452320205, 2.168087456695357, 2.1686800039876295, 2.168161469945407, 2.160798011344999, 0.0, -0.0013451060488013974, -0.000494485297826613, -0.0010629436732218834, -0.006717876562685756], ""fun"": 83.41652192847243, ""violation"": 0, ""total"": 83.41652192847243, ""extra"": {}}}, {""time"": 146.44927353784442, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10111"", ""params"": [1.8223468685971898, 0.0, 0.5052330820917846, 0.6848183308519211, 1.7146797524449078, 0.05181460576513389, 0.0, -8.748996928663985e-11, 0.015835790653918387, 0.09702429045687559, 1.9385973354202908, 1.938127093314873, 1.9381590679100806, 1.9376407004459437, 1.9292396003544936, 0.0, -9.639744810371305e-06, -0.0005291505796019988, -0.0011652654819387727, -0.008419028271053869], ""fun"": 59.0517242688004, ""violation"": 0, ""total"": 59.0517242688004, ""extra"": {}}}, {""time"": 146.52327613998204, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10111"", ""params"": [1.8223468685985968, 0.0, 0.5052330820917846, 0.6848183308519208, 1.7146797524449078, 0.05181460576673877, 0.0, -8.74905128456878e-11, 0.015835790653920084, 0.09702429045742196, 1.9385973349543146, 1.9381270928487837, 1.938159067443999, 1.9376406999797373, 1.9292395998862126, 0.0, -9.639744815107812e-06, -0.0005291505798567046, -0.001165265482499648, -0.008419028275121173], ""fun"": 59.05172422512252, ""violation"": 0, ""total"": 59.05172422512252, ""extra"": {}}}, {""time"": 265.061381473206, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10101"", ""params"": [2.5077154639887484, 0.0, 0.5052330820917769, 0.0, 1.7146797524449024, 0.07916553040061666, 0.0, -8.732568403434856e-11, 0.0, 0.0867672918737378, 1.8825404460007973, 1.881914272875905, 1.8818102993083643, 1.8812919789974272, 1.872896900574762, 0.0, -0.00013085122657603384, -0.0008584231874342897, -0.0015135990149968614, -0.008930549930033385], ""fun"": 53.55465832367647, ""violation"": 0, ""total"": 53.55465832367647, ""extra"": {}}}, {""time"": 265.1099141985178, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10101"", ""params"": [2.5077154639898938, 0.0, 0.5052330820916641, 0.0, 1.714679752444848, 0.07916553040120472, 0.0, -8.60199522405065e-11, 0.0, 0.08676729187377426, 1.8825404454589303, 1.8819142723338653, 1.8818102987662877, 1.8812919784552011, 1.8728969000300468, 0.0, -0.00013085122665263494, -0.0008584231879288705, -0.0015135990158690938, -0.008930549935201473], ""fun"": 53.55465827593448, ""violation"": 0, ""total"": 53.55465827593448, ""extra"": {}}}]"
46,,,,,,,,,,,,,Timeout after 1800.0s,
47,,,,,,,,,,,,,Timeout after 1800.0s,
48,10101,"[1.4446164481729191, 0.0, 1.7336463924159853, 0.0, 1.5233822749426673, 0.11488839734134469, 0.0, 0.06892194804759233, 0.0, 0.06529759504547905, 1.0001809637257433, 0.9996290978238792, 1.000246712968045, 0.9996863256758993, 1.000501800495648, 0.0, -0.0020998802398992716, -0.00013826770167906392, -0.003448453142799206, 0.0006988116087110418]",9.656755758581653,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 85.08907945267856, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00101"", ""params"": [0.0, 0.0, 3.075096773461899, 0.0, 1.6295215716564486, 0.0, 0.0, 0.20176638383673948, 0.0, 0.05685640771913529, 1.0007846459685272, 0.9991250852421164, 1.0007098354016528, 1.000300285259589, 1.0011378150066939, 0.0, -0.005275430607657013, -0.0009240220444813198, -0.0034237029583453187, 0.0007819090224725635], ""fun"": 12.517773735775586, ""violation"": 0, ""total"": 12.517773735775586, ""extra"": {}}}, {""time"": 86.71739945746958, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10101"", ""params"": [1.4446164481729191, 0.0, 1.7336463924159853, 0.0, 1.5233822749426673, 0.11488839734134469, 0.0, 0.06892194804759233, 0.0, 0.06529759504547905, 1.0001809637257433, 0.9996290978238792, 1.000246712968045, 0.9996863256758993, 1.000501800495648, 0.0, -0.0020998802398992716, -0.00013826770167906392, -0.003448453142799206, 0.0006988116087110418], ""fun"": 9.656755758581653, ""violation"": 0, ""total"": 9.656755758581653, ""extra"": {}}}]"
49,,,,,,,,,,,,,Timeout after 1800.0s,
50,,,,,,,,,,,,,Timeout after 1800.0s,
51,,,,,,,,,,,,,Timeout after 1800.0s,
52,,,,,,,,,,,,,Timeout after 1800.0s,
53,,,,,,,,,,,,,Timeout after 1800.0s,
54,00110,"[0.0, 0.0, 1.711191437948012, 1.4717819875973444, 0.0, 0.0, 0.0, 0.14667549722407888, 0.017664852455285714, 0.0, 0.9981328354055277, 1.0016578094607382, 1.0029358148803498, 0.9995015350851275, 0.9992361558119169, 0.0, 0.009367008242138363, 0.013046500303694192, 0.005037658644564235, 0.003349859098119982]",6.767076779187188,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 207.62277864106, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10110"", ""params"": [0.34215641361889165, 0.0, 1.7111914379522866, 1.1289721743408407, 0.0, 0.025281840398387313, 0.0, 0.12442231658149949, 0.012367888007389687, 0.0, 0.9980933054319578, 1.0017618809903028, 1.0027203007969978, 0.9994338207153964, 0.9991966699795227, 0.0, 0.00972607713786907, 0.012562418083436304, 0.004928952354986206, 0.003350124155480983], ""fun"": 7.4283517552024465, ""violation"": 0, ""total"": 7.4283517552024465, ""extra"": {}}}, {""time"": 671.5968114696443, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00110"", ""params"": [0.0, 0.0, 1.711191437948012, 1.4717819875973444, 0.0, 0.0, 0.0, 0.14667549722407888, 0.017664852455285714, 0.0, 0.9981328354055277, 1.0016578094607382, 1.0029358148803498, 0.9995015350851275, 0.9992361558119169, 0.0, 0.009367008242138363, 0.013046500303694192, 0.005037658644564235, 0.003349859098119982], ""fun"": 6.767076779187188, ""violation"": 0, ""total"": 6.767076779187188, ""extra"": {}}}]"
55,,,,,,,,,,,,,Timeout after 1800.0s,
56,,,,,,,,,,,,,Timeout after 1800.0s,
57,,,,,,,,,,,,,Timeout after 1800.0s,
58,11011,"[1.026871036251593, 2.8296749667491965, 0.0, 0.5751620580735716, 2.966769375222057, -7.011763688235881e-11, -4.814547399528772e-11, 0.0, 0.008848018666717245, 0.25725106304039663, 1.4431554793769452, 1.445020720667582, 1.4428157844401954, 1.4430083042364257, 1.4437630896786449, 0.0, 0.0034989722518885755, -0.0010027386630944428, -0.0005412202411978566, 0.0007991288374535113]",27.282883397690085,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.10393488220870495, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [1.9840400095790212, 2.3447074326170605, 0.1291836395183431, 0.4283104528439668, 2.50823677502659, 0.08348142620671116, 0.039280290729817195, 0.0008362188598947585, 0.004490143652152754, 0.12574432815187953, 6.14793725169587, 6.1482702950685635, 6.147850002421021, 6.147891494815483, 6.148033301055854, 0.0, 0.00011517585175467671, -7.234370829063584e-05, -3.948205851556039e-05, 3.0473197674600668e-05], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 261.1332812430337, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11011"", ""params"": [1.026871036251593, 2.8296749667491965, 0.0, 0.5751620580735716, 2.966769375222057, -7.011763688235881e-11, -4.814547399528772e-11, 0.0, 0.008848018666717245, 0.25725106304039663, 1.4431554793769452, 1.445020720667582, 1.4428157844401954, 1.4430083042364257, 1.4437630896786449, 0.0, 0.0034989722518885755, -0.0010027386630944428, -0.0005412202411978566, 0.0007991288374535113], ""fun"": 27.282883397690085, ""violation"": 0, ""total"": 27.282883397690085, ""extra"": {}}}]"
59,,,,,,,,,,,,,Timeout after 1800.0s,
60,,,,,,,,,,,,,Timeout after 1800.0s,
61,01110,"[0.0, 2.951882589137098, 3.2985902218773338, 0.44561437336625426, 0.0, 0.0, 0.09010741658560754, 0.2902624637647383, 0.01777684590637731, 0.0, 1.1975334890669855, 1.196640705579858, 1.1976347965445686, 1.19652160837152, 1.1958887946231855, 0.0, -0.002291596798703748, 0.00030127181226303795, -0.003702704384320953, -0.004858246240901469]",25.180908769205907,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 86.29061835072935, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01110"", ""params"": [0.0, 2.951882589137098, 3.2985902218773338, 0.44561437336625426, 0.0, 0.0, 0.09010741658560754, 0.2902624637647383, 0.01777684590637731, 0.0, 1.1975334890669855, 1.196640705579858, 1.1976347965445686, 1.19652160837152, 1.1958887946231855, 0.0, -0.002291596798703748, 0.00030127181226303795, -0.003702704384320953, -0.004858246240901469], ""fun"": 25.180908769205907, ""violation"": 0, ""total"": 25.180908769205907, ""extra"": {}}}]"
62,,,,,,,,,,,,,Timeout after 1800.0s,
63,,,,,,,,,,,,,Timeout after 1800.0s,
64,01101,"[0.0, 0.6782249203491878, 0.32649293675335805, 0.0, 0.5666200610678207, 0.0, 0.049027164103749805, 0.016194877575440598, 0.0, 0.04067529851472494, 0.9998179112116713, 1.00003605321437, 1.0000585741021395, 1.0000321023184597, 1.000058798413644, 0.0, 0.00040791366790858075, 0.00046324571197948203, 0.00036057026859212516, 0.0004749375189893973]",3.6900524628610456,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.06175145786255598, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [0.06678462444016761, 0.38890780689993953, 0.2539966309712315, 0.42480493044055195, 0.43950411069191747, 0.0005691559676536666, 0.0422755796357702, 0.03738028665376909, 0.0008748779831745098, 0.03632921497096399, 0.1883549602917107, 0.18913921451256355, 0.1901808710127482, 0.188216881354947, 0.18832903421574318, 0.0, 0.003435243301771008, 0.025574847422803595, -0.00933589396742336, -0.0066449443805994095], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 690.6717402935028, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01111"", ""params"": [0.0, 0.4520149800263078, 0.25340485823255027, 0.4270709023236017, 0.4389171297895812, 0.0, 0.04902673734619222, 0.01348197189863755, 0.000814438345521559, 0.04291996348534904, 0.9998998119469519, 1.0000572944686787, 1.0002164272467169, 0.9999071235453384, 0.9999290797138682, 0.0, 0.0001159790123328957, 0.0009253186018102136, -0.00034852472754234474, -0.00025347642150741164], ""fun"": 4.174883033286196, ""violation"": 0, ""total"": 4.174883033286196, ""extra"": {}}}, {""time"": 698.5674297222868, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01111"", ""params"": [0.0, 0.4520149784711008, 0.2534048582260286, 0.427070903919127, 0.43891712978330755, 0.0, 0.04902790517630114, 0.01347530972749035, 0.000817502202671808, 0.042922394047179534, 0.9998998078774463, 1.0000572933632985, 1.0002164184846576, 0.9999071303282975, 0.9999290868631885, 0.0, 0.00011597837806459285, 0.0009253194130036446, -0.0003485282787656475, -0.000253480070749896], ""fun"": 4.174883033260524, ""violation"": 0, ""total"": 4.174883033260524, ""extra"": {}}}, {""time"": 703.5490698125213, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01111"", ""params"": [0.0, 0.4520149806067157, 0.25340485822572767, 0.4270709017834604, 0.4389171297830181, 0.0, 0.04902790756066181, 0.013475306425455543, 0.0008175021954089033, 0.04292239496830489, 0.9998998078753467, 1.0000572933642993, 1.000216418477769, 0.9999071303322884, 0.9999290868673181, 0.0, 0.00011597837924140735, 0.0009253194109588286, -0.0003485282786942391, -0.00025348007071592], ""fun"": 4.174883033260342, ""violation"": 0, ""total"": 4.174883033260342, ""extra"": {}}}, {""time"": 1427.3237909739837, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01101"", ""params"": [0.0, 0.5568764225744635, 0.42151713955805614, 0.0, 0.5929513543496947, 0.0, 0.04603062542765324, 0.027858495178562523, 0.0, 0.032043966304520846, 1.005338312138422, 1.0055290569798814, 1.005613754088288, 1.0055287209378494, 1.0055550186873272, 0.0, 0.000328070280014798, 0.0005782257190547544, 0.0003760148013075882, 0.000493401437377455], ""fun"": 4.174882033260342, ""violation"": 0, ""total"": 4.174882033260342, ""extra"": {}}}, {""time"": 1461.9087175717577, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01101"", ""params"": [0.0, 0.6782249203491878, 0.32649293675335805, 0.0, 0.5666200610678207, 0.0, 0.049027164103749805, 0.016194877575440598, 0.0, 0.04067529851472494, 0.9998179112116713, 1.00003605321437, 1.0000585741021395, 1.0000321023184597, 1.000058798413644, 0.0, 0.00040791366790858075, 0.00046324571197948203, 0.00036057026859212516, 0.0004749375189893973], ""fun"": 3.6900524628610456, ""violation"": 0, ""total"": 3.6900524628610456, ""extra"": {}}}]"
65,10011,"[4.633298273356422, 0.0, 0.0, 0.6111569248151322, 0.971088991537182, 0.5105642271875002, 0.0, 0.0, 0.005208268938965055, 0.010748623790086032, 1.0001403696564921, 1.0000602788354478, 0.9998586867890513, 0.9997970211856909, 1.000374690314682, 0.0, -0.0003378832033372715, -0.0007550560211225047, -0.0008065536777449039, 0.0005638298329830692]",18.45275095906244,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.10203052591532469, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [4.678863670018978, 0.13558326599433257, 0.32644574407347526, 0.43126791539756937, 0.6437411917351185, 0.43079997531259606, 0.0011863002072190966, 0.02148568650941336, 0.01680510536511977, 0.05716329660615638, 0.6446503983290559, 0.6445695317438861, 0.6443160551867957, 0.6442593238668658, 0.6450251877427149, 0.0, -0.0006342938174437033, -0.0013911343590111151, -0.0014012404399832794, 0.0011752011751932489], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 54.99678754247725, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11011"", ""params"": [4.4593692555553925, 0.17385206456088473, 0.0, 0.6111569248150187, 0.9710889915369765, 0.5085209450969512, 0.0023693037732568385, 0.0, 0.005550035347413306, 0.009847034793125648, 1.0000821902878678, 1.0000389454586474, 0.9998868839898245, 0.9998579071550215, 1.0003239346469566, 0.0, -0.00020718799234126513, -0.0004985815980814426, -0.0004922495141735151, 0.0005808379566769326], ""fun"": 18.911859362788682, ""violation"": 0, ""total"": 18.911859362788682, ""extra"": {}}}, {""time"": 1619.2906824061647, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10011"", ""params"": [4.633298273356422, 0.0, 0.0, 0.6111569248151322, 0.971088991537182, 0.5105642271875002, 0.0, 0.0, 0.005208268938965055, 0.010748623790086032, 1.0001403696564921, 1.0000602788354478, 0.9998586867890513, 0.9997970211856909, 1.000374690314682, 0.0, -0.0003378832033372715, -0.0007550560211225047, -0.0008065536777449039, 0.0005638298329830692], ""fun"": 18.45275095906244, ""violation"": 0, ""total"": 18.45275095906244, ""extra"": {}}}]"
66,,,,,,,,,,,,,Timeout after 1800.0s,
67,,,,,,,,,,,,,Timeout after 1800.0s,
68,,,,,,,,,,,,,Timeout after 1800.0s,
69,,,,,,,,,,,,,Timeout after 1800.0s,
70,11001,"[2.945746665712275, 3.776767172981196, 0.0, 0.0, 3.5123189663658914, 0.026449182283767, 0.5232361853729582, 0.0, 0.0, 0.3117334682308128, 1.0319188305132425, 1.0349860091799599, 1.0382696622792609, 1.0384463681024074, 1.0397327439495108, 0.0, 0.0064458886905335265, 0.01318243863946588, 0.014924206746609478, 0.017650988949894794]",23.692280547855265,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 353.4152337666601, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11001"", ""params"": [2.945746665712275, 3.776767172981196, 0.0, 0.0, 3.5123189663658914, 0.026449182283767, 0.5232361853729582, 0.0, 0.0, 0.3117334682308128, 1.0319188305132425, 1.0349860091799599, 1.0382696622792609, 1.0384463681024074, 1.0397327439495108, 0.0, 0.0064458886905335265, 0.01318243863946588, 0.014924206746609478, 0.017650988949894794], ""fun"": 23.692280547855265, ""violation"": 0, ""total"": 23.692280547855265, ""extra"": {}}}]"
71,00001,"[0.0, 0.0, 0.0, 0.0, 2.6466747225333433, 0.0, 0.0, 0.0, 0.0, 0.07613385658875009, 1.0007059537103085, 1.0008372873876132, 1.0009548002583362, 1.0014232210689014, 0.9968562979271144, 0.0, 0.0003641392995480528, 0.001529906025847466, 0.002538747599220172, -0.009448522198223301]",7.69682597299244,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 4.031759845092893, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00001"", ""params"": [0.0, 0.0, 0.0, 0.0, 2.6466747225333433, 0.0, 0.0, 0.0, 0.0, 0.07613385658875009, 1.0007059537103085, 1.0008372873876132, 1.0009548002583362, 1.0014232210689014, 0.9968562979271144, 0.0, 0.0003641392995480528, 0.001529906025847466, 0.002538747599220172, -0.009448522198223301], ""fun"": 7.69682597299244, ""violation"": 0, ""total"": 7.69682597299244, ""extra"": {}}}]"
72,00011,"[0.0, 0.0, 0.0, 1.8473908276971418, 1.7563206692297035, 0.0, 0.0, 0.0, 0.11474714388652664, 0.09517088953684634, 1.0013249405380298, 1.000869606792565, 1.003328147919165, 1.0014988710690207, 0.9973903370076429, 0.0, -0.002100630111613298, 0.005387913479495434, 0.0002706678275813311, -0.01042118481092003]",8.755690102603166,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.3667973689734936, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00011"", ""params"": [0.0, 0.0, 0.0, 1.8473908276971418, 1.7563206692297035, 0.0, 0.0, 0.0, 0.11474714388652664, 0.09517088953684634, 1.0013249405380298, 1.000869606792565, 1.003328147919165, 1.0014988710690207, 0.9973903370076429, 0.0, -0.002100630111613298, 0.005387913479495434, 0.0002706678275813311, -0.01042118481092003], ""fun"": 8.755690102603166, ""violation"": 0, ""total"": 8.755690102603166, ""extra"": {}}}]"
73,,,,,,,,,,,,,Timeout after 1800.0s,
74,,,,,,,,,,,,,Timeout after 1800.0s,
75,,,,,,,,,,,,,Timeout after 1800.0s,
76,,,,,,,,,,,,,Timeout after 1800.0s,
77,,,,,,,,,,,,,Timeout after 1800.0s,
78,,,,,,,,,,,,,Timeout after 1800.0s,
79,,,,,,,,,,,,,Timeout after 1800.0s,
80,,,,,,,,,,,,,Timeout after 1800.0s,
81,,,,,,,,,,,,,Timeout after 1800.0s,
82,,,,,,,,,,,,,Timeout after 1800.0s,
83,,,,,,,,,,,,,Timeout after 1800.0s,
84,11011,"[4.133099896724186, 2.059797412801822, 0.0, 0.6705759636201046, 0.2768576234832204, 0.37338627872580626, 0.0459415006713446, 0.0, 0.05579044913677916, 0.007768752453794578, 1.0006255978023664, 0.9999980959771467, 0.9997683199685153, 0.9998411146009806, 0.9999014278579033, 0.0, -0.005021038475306642, -0.005265741702374984, -0.005255514071387613, -0.005126739894400742]",26.893445120986858,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.17153159622102976, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [4.880002858640232, 1.5429314635064115, 0.055067929017929715, 0.46339299000309936, 0.19854115203420164, 0.3205811958652741, 0.12260604338329757, 0.0038045952414149796, 0.028631647064546344, 0.003892721525914023, 9.838093340079217, 9.837915279933668, 9.837978783426054, 9.837919128058996, 9.83792416462467, 0.0, -0.00015393136505145513, -0.0001170637400358706, -0.00013296776446430973, -0.0001318080628628325], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 46.992569983005524, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11011"", ""params"": [4.133099896724186, 2.059797412801822, 0.0, 0.6705759636201046, 0.2768576234832204, 0.37338627872580626, 0.0459415006713446, 0.0, 0.05579044913677916, 0.007768752453794578, 1.0006255978023664, 0.9999980959771467, 0.9997683199685153, 0.9998411146009806, 0.9999014278579033, 0.0, -0.005021038475306642, -0.005265741702374984, -0.005255514071387613, -0.005126739894400742], ""fun"": 26.893445120986858, ""violation"": 0, ""total"": 26.893445120986858, ""extra"": {}}}]"
85,,,,,,,,,,,,,Timeout after 1800.0s,
86,,,,,,,,,,,,,Timeout after 1800.0s,
87,,,,,,,,,,,,,Timeout after 1800.0s,
88,,,,,,,,,,,,,Timeout after 1800.0s,
89,,,,,,,,,,,,,Timeout after 1800.0s,
90,,,,,,,,,,,,,Timeout after 1800.0s,
